,address,city,country,name,province,reviews.date,reviews.text,reviews.title,reviews.username,lang,translated_text
12,Riviera San Nicol 11/a,Mableton,US,Hotel Russo Palace,GA,8/2/2015,It was ok hotel is nice from in and out but room was small we paid for double bed bat they atteched 2 single bed,It was ok hotel is nice from in and out but room,ahsas,en,It was ok hotel is nice from in and out but room was small we paid for double bed bat they atteched 2 single bed
29,Riviera San Nicol 11/a,Mableton,US,Hotel Russo Palace,GA,5/6/2015,Wir hatten ein Zimmer mit Balkon und Blick auf die Lagune - wunderschn!!!,Sehr sch��nes Hotel auf dem Lido.,A Traveler,de,We had a room with balcony and view of the lagoon - Wondern!
32,Riviera San Nicol 11/a,Mableton,US,Hotel Russo Palace,GA,5/24/2015,Nous avons pass 4 jours dans cet htel situ 5 mn pieds des des vaporetto. Le personnel est trs sympa parle franais. Toujours l pour donner de bons conseils sur les restaurants ou les visites. Rien redire. Tout tait bien. Chambres petit djeuner et environnement.,une belle semaine �� Venise,serge,fr,We have passed 4 days in this htel located 5 minutes from the vaporetto. The staff is very friendly speaks French. Always L to give good advice on restaurants or visits. Nothing wrong. Quite well. Rooms breakfast and environment.
35,Riviera San Nicol 11/a,Mableton,US,Hotel Russo Palace,GA,10/10/2015,Room was tiny-bed saggy-bAthroom door didn't work. Good breakfast and convenient location. Wouldn't return or recommend.,Good for one night,A Traveler,en,Room was tiny-bed saggy-bAthroom door didn't work. Good breakfast and convenient location. Wouldn't return or recommend.
44,Riviera San Nicol 11/a,Mableton,US,Hotel Russo Palace,GA,10/15/2014,Prima uitval basis voor stedentrip. Rustige buurt,Gezellig hotel,A Traveler,nl,Great loss basis for city trip. Quiet neighborhood
60,142 Park Place Us 181 Business At Park Pl,Kenedy,US,Studio 6,TX,NA,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,,write a review,en,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
102,1700 N Livermore Ave,Livermore,US,Hawthorn Suites By Wyndham Livermore Wine Country,CA,2/6/2015,"The pictures on the web site were more expensive looking then the reality. We were told we had one of the best rooms, besides staring at cargo containers, the TV would not work so they changed our room. It was not well furnished and we could not regulate the air conditioner (way too warm for sleeping). The continental breakfast was good and the staff was very nice and helpful. The linens were harsh and uncomfortable. Sorry, but this was not at all what I expected and it was certainly unacceptable.",Not that happy,Melody,en,"The pictures on the web site were more expensive looking then the reality. We were told we had one of the best rooms, besides staring at cargo containers, the TV would not work so they changed our room. It was not well furnished and we could not regulate the air conditioner (way too warm for sleeping). The continental breakfast was good and the staff was very nice and helpful. The linens were harsh and uncomfortable. Sorry, but this was not at all what I expected and it was certainly unacceptable."
124,1700 N Livermore Ave,Livermore,US,Hawthorn Suites By Wyndham Livermore Wine Country,CA,4/24/2016,It was OK . they paid for the ice I purached.,will,Will,en,It was OK . they paid for the ice I purached.
126,1700 N Livermore Ave,Livermore,US,Hawthorn Suites By Wyndham Livermore Wine Country,CA,4/30/2016,"The hotel was great, but the Buffet Breakfast was the worst I have ever had! The bacon taste like cardboard, eggs and sausage were cold, Pastries were hard and very little fruit. The only thing hot and worth eating was fixing yourself a waffle at the waffle machine if you didn't mind waiting in line for it.",Great Hotel with a Bad Breakfast,Dale,en,"The hotel was great, but the Buffet Breakfast was the worst I have ever had! The bacon taste like cardboard, eggs and sausage were cold, Pastries were hard and very little fruit. The only thing hot and worth eating was fixing yourself a waffle at the waffle machine if you didn't mind waiting in line for it."
154,1700 N Livermore Ave,Livermore,US,Hawthorn Suites By Wyndham Livermore Wine Country,CA,6/22/2015,"Very comfortable and accommodating. From making our reservation to our time spent, the Hawthorn in Livermore was really nice. I did have to find the direct phone number to get assurance our needs would be met as the central hotel reservation system is simply not equipped to handle any details. Once accessed the staff was most gracious and reassuring and... More",An enjoyable stay,barbarasN4851GR,en,"Very comfortable and accommodating. From making our reservation to our time spent, the Hawthorn in Livermore was really nice. I did have to find the direct phone number to get assurance our needs would be met as the central hotel reservation system is simply not equipped to handle any details. Once accessed the staff was most gracious and reassuring and... More"
