"name","city","province","hotel_rating","absolute"
"A Bed & Breakfast In Cambridge","Cambridge","MA",3,5
"Acorn Motor Inn","Oak Harbor","WA",5,2
"Ambassadors Inn and Suites","Virginia Beach","VA",3.2,10
"American Star Inn and Suites Atlantic City","Absecon","Galloway Township",2.4,5
"Americas Best Value Inn","Boiling Springs","SC",2.33333333333333,3
"Americas Best Value Inn","Carson City","Carson Colony",3.66666666666667,3
"Americas Best Value Inn","Cheyenne","WY",2.25,4
"Americas Best Value Inn","Chico","Chapmantown",1,4
"Americas Best Value Inn","Lancaster","Manor Ridge",3,1
"Americas Best Value Inn","Whitehall","MI",1.75,4
"Americas Best Value Inn - Medical Center/airport","El Paso","TX",2.25,4
"Americas Best Value Inn and Suites","Lees Summit","Lk Lotawana",2.66666666666667,6
"Americinn Coralville","Coralville","IA",4.2,5
"Americinn Lodge & Suites Appleton","Appleton","WI",4.5,2
"Amisos Hotel","Naples","FL",2.33333333333333,3
"Anaheim Marriott Suites","Garden Grove","CA",3.42105263157895,19
"Anglers Inn","Jackson","Jackson Hole",3.5,6
"Arion","Ramey","PA",5,3
"Arizona Inn of Prescott Valley","Prescott Valley","AZ",2,5
"Azul Beach Hotel By Karisma Gourmet Inclusive","Mont Belvieu","TX",4,1
"Baymont Inn & Suites Griffin","Griffin","GA",2.33333333333333,3
"Baymont Inn and Suites Boone","Boone","IA",2.5,4
"Baymont Inn and Suites Enid","Enid","OK",3.5,2
"Bayside Resort Hotel","West Yarmouth","Yarmouth",3.16666666666667,6
"Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management","North Myrtle Beach","Cherry Grove",3,4
"Berkshire By The Sea A Vri Resort","Delray Beach","FL",4,1
"Best Western Holiday Hills","Coalville","Pine Cliff",3,5
"Best Western Hospitality Hotel and Suites","Grand Rapids","MI",3.66666666666667,9
"Best Western Hotel De Neuville","Irving","TX",3.33333333333333,3
"Best Western Knoxville Suites","Knoxville","TN",3.54545454545455,11
"Best Western of Long Beach","Long Beach","CA",3.8,20
"Best Western Plus Arlington North Hotel and Suites","Grand Prairie","TX",3,2
"Best Western Plus San Marcos Inn","Morro Bay","CA",3.4,10
"Best Western Saint-etienne Aeroport","Park City","KY",2.66666666666667,3
"Best Western Silicon Valley Inn","Sunnyvale","CA",3.5,2
"Big Mountain Lodge","Whitefish","MT",5,3
"Campanile Lyon Ecully","Cozad","NE",2,2
"Campus Inn & Suites Eugene Downtown","Eugene","OR",3.5,6
"Candlewood Suites Huntersville","Huntersville","Hicks Crossroads",3.5,2
"Casa Del Mar Inn Bandb","Santa Barbara","CA",2.5,10
"Castle Kona Reef","Kailua Kona","HI",3.5,2
"Chelsea Inn","San Francisco","CA",2.91666666666667,12
"Cherokee Lodge Bed and Breakfast","Coronado","CA",2.75,4
"Cherry Orchard Inn","Sunnyvale","CA",4,3
"City Express Irapuato","Mobile","AL",2.5,2
"Cliffs 7305 By Redawning","Princeville","HI",2.5,2
"Comfort Inn","Bonita Springs","FL",3.83333333333333,12
"Comfort Inn - Springfield","Springfield","VA",3.14285714285714,7
"Comfort Inn and Suites","Black River Falls","WI",3.2,5
"Comfort Inn and Suites Bend","Bend","OR",3.66666666666667,3
"Comfort Inn Birmingham - Irondale","Birmingham","Jefferson Park",4.25,4
"Comfort Inn Deland - Near University","Deland","FL",2.83333333333333,6
"Comfort Inn Huntingdon","Huntingdon","PA",2.83333333333333,6
"Comfort Inn Livermore","Livermore","CA",3,2
"Comfort Inn Montgomery","Montgomery","AL",2.8,5
"Comfort Suites","Monroe","LA",3.2,5
"Comfort Suites","Southfield","MI",3.5,6
"Comfort Suites","Springfield","OH",4.5,4
"Comfort Suites Fort Pierce","Fort Pierce","FL",3.14285714285714,7
"Comfort Suites Mount Vernon","Mount Vernon","Camp Ground",5,1
"Comfort Suites Shreveport","Shreveport","LA",3.33333333333333,3
"Comfort Suites Southport","Southport","Blng Spg Lks",5,1
"Country Inn & Suites By Carlson","Crystal Lake","Lakewood",3,4
"Country Inn and Suites By Carlson","Elkhart","IN",3.66666666666667,3
"Country Inn and Suites By Carlson Charlotte University Place","Charlotte","NC",3.77777777777778,9
"Country Inn Walker","Walker","Onigum",3.33333333333333,3
"Courtyard By Marriott Downtown Boise","Boise","ID",3.77777777777778,9
"Courtyard By Marriott Rockaway Mount Arlington","Mount Arlington","NJ",2.66666666666667,3
"Crossland Economy Studios - Lake Charles - Sulphur","Sulphur","LA",3,1
"Days Inn & Suites Castle Rock","Castle Rock","CO",3,5
"Days Inn and Suites Albany","Albany","Colonie Center",1.83333333333333,6
"Days Inn Bangor Airport","Bangor","Veazie",3,8
"Days Inn Barstow","Barstow","CA",2,1
"Days Inn Branson / Near The Strip","Branson","Bull Creek Village",4.33333333333333,3
"Days Inn Brookings","Brookings","SD",3,3
"Days Inn El Reno Ok","El Reno","OK",4,1
"Days Inn Fort Wayne","Fort Wayne","IN",3,1
"Days Inn Lanham Washington Dc","Lanham","Seabrook",3.375,8
"Days Inn Newton","Newton","KS",1,1
"Days Inn North Columbia Ft. Jackson","Blythewood","SC",3.33333333333333,3
"Days Inn Ruther Glen Kings Dominion Area","Ruther Glen","VA",1.5,2
"Days Inn Warren","Warren","PA",3.11111111111111,9
"Days Inn West Memphis","West Memphis","AR",3,4
"Deluxe Inn Merrillville","Merrillville","IN",1,1
"Discovery Inn","Midvale","Cushing",3.4,5
"Dockers Inn","Branson","Bull Creek Village",3.2,10
"Doubletree By Hilton West Palm Beach Airport","West Palm Beach","FL",3.84210526315789,19
