positive;negative
accept;abandon*
accepta*;abuse*
accepted;abusi*
accepting;ache*
accepts;aching
active*;advers*
admir*;afraid
ador*;aggravat*
advantag*;aggress*
adventur*;agitat*
affection*;agoniz*
agree;agony
agreeab*;alarm*
agreed;alone
agreeing;anger*
agreement*;angr*
agrees;anguish*
alright*;annoy*
amaz*;antagoni*
amor*;anxi*
amus*;apath*
aok;appall*
appreciat*;apprehens*
assur*;argh*
attachment*;argu*
attract*;arrogan*
award*;asham*
awesome;assault*
beaut*;asshole*
beloved;attack*
benefic*;aversi*
benefit;avoid*
benefits;awful
benefitt*;awkward*
benevolen*;bad
benign*;bashful*
best;bastard*
better;battl*
bless*;beaten
bold*;bitch*
bonus*;bitter*
brave*;blam*
bright*;bore*
brillian*;boring
calm*;bother*
care;broke
cared;brutal*
carefree;burden*
careful*;careless*
cares;cheat*
caring;complain*
casual;confront*
casually;confus*
certain*;contempt*
challeng*;contradic*
champ*;crap
charit*;crappy
charm*;craz*
cheer*;cried
cherish*;cries
chuckl*;critical
clever*;critici*
comed*;crude*
comfort*;cruel*
commitment*;crushed
compassion*;cry
compliment*;crying
confidence;cunt*
confident;cut
confidently;cynic*
considerate;damag*
contented*;damn*
contentment;danger*
convinc*;daze*
cool;decay*
courag*;defeat*
create*;defect*
creati*;defenc*
credit*;defens*
cute*;degrad*
cutie*;depress*
daring;depriv*
darlin*;despair*
dear*;desperat*
definite;despis*
definitely;destroy*
delectabl*;destruct*
delicate*;devastat*
delicious*;devil*
deligh*;difficult*
determina*;disadvantage*
determined;disagree*
devot*;disappoint*
digni*;disaster*
divin*;discomfort*
dynam*;discourag*
eager*;disgust*
ease*;dishearten*
easie*;disillusion*
easily;dislike
easiness;disliked
easing;dislikes
easy*;disliking
ecsta*;dismay*
efficien*;dissatisf*
elegan*;distract*
encourag*;distraught
energ*;distress*
engag*;distrust*
enjoy*;disturb*
entertain*;domina*
enthus*;doom*
excel*;dork*
excit*;doubt*
fab;dread*
fabulous*;dull*
faith*;dumb*
fantastic*;dump*
favor*;dwell*
favour*;egotis*
fearless*;embarrass*
festiv*;emotional
fiesta*;empt*
fine;enemie*
flatter*;enemy*
flawless*;enrag*
flexib*;envie*
flirt*;envious
fond;envy*
fondly;evil*
fondness;excruciat*
forgave;exhaust*
forgiv*;fail*
free;fake
free*;fatal*
freeb*;fatigu*
freed*;fault*
freeing;fear
freely;feared
freeness;fearful*
freer;fearing
frees*;fears
friend*;feroc*
fun;feud*
funn*;fiery
genero*;fight*
gentle;fired
gentler;flunk*
gentlest;foe*
gently;fool*
giggl*;forbid*
giver*;fought
giving;frantic*
glad;freak*
gladly;fright*
glamor*;frustrat*
glamour*;fuck
glori*;fucked*
glory;fucker*
good;fuckin*
goodness;fucks
gorgeous*;fume*
grace;fuming
graced;furious*
graceful*;fury
graces;geek*
graci*;gloom*
grand;goddam*
grande*;gossip*
gratef*;grave*
grati*;greed*
great;grief
grin;griev*
grinn*;grim*
grins;gross*
ha;grouch*
haha*;grr*
handsom*;guilt*
happi*;harass*
happy;harm
harmless*;harmed
harmon*;harmful*
heartfelt;harming
heartwarm*;harms
heaven*;hate
heh*;hated
helper*;hateful*
helpful*;hater*
helping;hates
helps;hating
hero*;hatred
