"","Name","x"
"1","A Bed & Breakfast In Cambridge",5
"2","Acorn Motor Inn",2
"3","Ambassadors Inn and Suites",10
"4","American Star Inn and Suites Atlantic City",5
"5","Americas Best Value Inn",19
"6","Americas Best Value Inn - Medical Center/airport",4
"7","Americas Best Value Inn and Suites",6
"8","Americinn Coralville",5
"9","Americinn Lodge & Suites Appleton",2
"10","Amisos Hotel",3
"11","Anaheim Marriott Suites",19
"12","Anglers Inn",6
"13","Arion",3
"14","Arizona Inn of Prescott Valley",5
"15","Azul Beach Hotel By Karisma Gourmet Inclusive",1
"16","Baymont Inn & Suites Griffin",3
"17","Baymont Inn and Suites Boone",4
"18","Baymont Inn and Suites Enid",2
"19","Bayside Resort Hotel",6
"20","Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management",4
"21","Berkshire By The Sea A Vri Resort",1
"22","Best Western Holiday Hills",5
"23","Best Western Hospitality Hotel and Suites",9
"24","Best Western Hotel De Neuville",3
"25","Best Western Knoxville Suites",11
"26","Best Western of Long Beach",20
"27","Best Western Plus Arlington North Hotel and Suites",2
"28","Best Western Plus San Marcos Inn",10
"29","Best Western Saint-etienne Aeroport",3
"30","Best Western Silicon Valley Inn",2
"31","Big Mountain Lodge",3
"32","Campanile Lyon Ecully",2
"33","Campus Inn & Suites Eugene Downtown",6
"34","Candlewood Suites Huntersville",2
"35","Casa Del Mar Inn Bandb",10
"36","Castle Kona Reef",2
"37","Chelsea Inn",12
"38","Cherokee Lodge Bed and Breakfast",4
"39","Cherry Orchard Inn",3
"40","City Express Irapuato",2
"41","Cliffs 7305 By Redawning",2
"42","Comfort Inn",12
"43","Comfort Inn - Springfield",7
"44","Comfort Inn and Suites",5
"45","Comfort Inn and Suites Bend",3
"46","Comfort Inn Birmingham - Irondale",4
"47","Comfort Inn Deland - Near University",6
"48","Comfort Inn Huntingdon",6
"49","Comfort Inn Livermore",2
"50","Comfort Inn Montgomery",5
"51","Comfort Suites",15
"52","Comfort Suites Fort Pierce",7
"53","Comfort Suites Mount Vernon",1
"54","Comfort Suites Shreveport",3
"55","Comfort Suites Southport",1
"56","Country Inn & Suites By Carlson",4
"57","Country Inn and Suites By Carlson",3
"58","Country Inn and Suites By Carlson Charlotte University Place",9
"59","Country Inn Walker",3
"60","Courtyard By Marriott Downtown Boise",9
"61","Courtyard By Marriott Rockaway Mount Arlington",3
"62","Crossland Economy Studios - Lake Charles - Sulphur",1
"63","Days Inn & Suites Castle Rock",5
"64","Days Inn and Suites Albany",6
"65","Days Inn Bangor Airport",8
"66","Days Inn Barstow",1
"67","Days Inn Branson / Near The Strip",3
"68","Days Inn Brookings",3
"69","Days Inn El Reno Ok",1
"70","Days Inn Fort Wayne",1
"71","Days Inn Lanham Washington Dc",8
"72","Days Inn Newton",1
"73","Days Inn North Columbia Ft. Jackson",3
"74","Days Inn Ruther Glen Kings Dominion Area",2
"75","Days Inn Warren",9
"76","Days Inn West Memphis",4
"77","Deluxe Inn Merrillville",1
"78","Discovery Inn",5
"79","Dockers Inn",10
"80","Doubletree By Hilton West Palm Beach Airport",19
"81","Drury Inn and Suites Columbus Convention Center",17
"82","Econo Lodge Bellmawr",2
"83","Econo Lodge Miles City",4
"84","Economy Inn",1
"85","El Dorado Seaside Suites By Karisma - All Inclusive",1
"86","Elba Sara Beach & Golf Resort",2
"87","Excellence Riviera Cancun - Adults Only - All Inclusive",6
"88","Extended Stay America - Chicago - Westmont - Oak Brook",3
"89","Extended Stay America - Fort Lauderdale - Davie",4
"90","Extended Stay America - Orlando Theme Parks - Vineland Rd.",8
"91","Extended Stay America - Raleigh - Cary - Regency Parkway S",6
"92","Extended Stay America - Rockford - I-90",6
"93","Fairbridge Inn",3
"94","Fairfield Inn and Suites By Marriott Idaho Falls",3
"95","Fairfield Inn and Suites By Marriott Plainville",5
"96","Fairfield Inn By Marriott Binghamton",7
"97","Fairfield Inn Saginaw",6
"98","Fh Hotel Villa Fiesole",3
"99","Fiesta Inn and Suites",33
"100","Fiesta Inn Centro Historico",7
"101","Fireside Inn Santa Cruz",4
"102","Gardena Terrace Inn",8
"103","Good Nite Inn Rohnert Park",15
"104","Gran Melia Victoria",6
"105","Grand Hotel Cadenabbia",5
"106","Greenstay Hotel and Suites",2
"107","Haltom Inn",1
"108","Hampton Inn & Suites Fort Worth-west-i-30",9
"109","Hampton Inn & Suites-downtown-tutwiler",8
"110","Hampton Inn Abilene",6
"111","Hampton Inn and Suites Annapolis",8
"112","Hampton Inn Bloomington West",5
"113","Hampton Inn Dublin",7
"114","Hampton Inn Fayetteville Fort Bragg",4
"115","Hampton Inn Grand Junction Downtown/historic Main Street",4
"116","Hampton Inn New Orleans - Downtown",1
"117","Hampton Inn Roanoke/salem",1
"118","Hampton Inn Sarasota - I-75 Bee Ridge",11
"119","Hampton Inn Tucson-airport",10
"120","Harrah's Laughlin Hotel and Casino",7
"121","Hawthorn Suites By Wyndham Livermore Wine Country",6
"122","Hawthorn Suites Dayton North",2
"123","Hilton Garden Inn Austin Nw - Arboretum",3
"124","Hilton Garden Inn Kauai Wailua Bay",1
"125","Hilton Santo Domingo",2
"126","Holiday Inn Canyon De Chelly",2
"127","Holiday Inn Express - Harrisburg East",10
"128","Holiday Inn Express - Hillsboro",6
"129","Holiday Inn Express & Suites Portland",1
"130","Holiday Inn Express and Suites Gahanna/columbus Airport E",5
"131","Holiday Inn Express Hotel and Stes Port Clinton-catawba Island",6
"132","Holiday Inn Express Hotel and Suites Hesperia",4
"133","Holiday Inn Express Hotel and Suites Meadowlands Area",7
"134","Holiday Inn Express Hotel and Suites Raleigh-wakefield",7
"135","Holiday Inn Express Hotel and Suites Va Beach Oceanfront",17
"136","Holiday Inn Express San Clemente",7
"137","Holiday Inn Fond Du Lac",14
"138","Homewood Suites - Mall of America",2
"139","Hotel Adler Cavalieri",3
"140","Hotel An Der Philharmonie",4
"141","Hotel Aura Sfo",4
"142","Hotel Borgo Verde",1
"143","Hotel Casena Dei Colli",6
"144","Hotel Eug��ne En Ville",3
"145","Hotel Garibaldi",1
"146","Hotel Lavonia",2
"147","Hotel Metropole",5
"148","Hotel Portaventura",2
"149","Hotel Relais De Margaux Golf and Spa",6
"150","Hotel Roc Flamingo",3
"151","Hotel Roc Lago Rojo",2
"152","Hotel Russo Palace",5
"153","Hotel Vorbach",2
"154","Howard Johnson Inn - Newburgh",47
"155","Howard Johnson Inn Columbia",5
"156","Hyatt Centric Arlington",1
"157","Hyatt Dulles",3
"158","Hyatt House Colorado Springs",8
"159","Hyatt Place Pittsburgh Cranberry",4
"160","Hyatt Place San Antonio Airport - Quarry Market",2
"161","Hyatt Place Utica",2
"162","Hyatt Regency Kathmandu",6
"163","H��tel Les Bruy��res",2
"164","H��tel Sezz Paris",1
"165","Ibis Wuerzburg City",3
"166","Inn At Mendenhall",4
"167","Innisbrook",2
"168","Inter-hotel Orl��ans Nord",8
"169","Inturotel Esmeralda Park",3
"170","La Quinta Inn and Suites Hopkinsville",3
"171","La Quinta Inn and Suites Meridian",7
"172","La Quinta Inn and Suites Miami Cutler Bay",4
"173","La Quinta Inn and Suites Sunrise",13
"174","La Quinta Inn and Suites Tucson - Reid Park",4
"175","La Quinta Inn Auburn Worcester",17
"176","Lakeway Resort & Spa",8
"177","Lamothe House",8
"178","Mandarin Oriental Jakarta",7
"179","Marriott Springhill Marina",1
"180","Marriott's Mountainside At Park City",4
"181","Mccamly Plaza Hotel",4
"182","Melia Paris Champs-elys��es",4
"183","Mercure Curitiba Golden Hotel",6
"184","Microtel Inn By Wyndham Knoxville",7
"185","Miramar Boutique Hotel",1
"186","Monarch Inn",4
"187","Monterey Beach Dunes Inn",7
"188","Motel 6 Fort Bragg",1
"189","Mountain Lodge At Telluride - A Noble House Resort",12
"190","Norwood Inn and Suites",7
"191","Old Wheeler Hotel",1
"192","Palm Suites",6
"193","Parkside Inn At Incline",8
"194","Plaza Hotel and Casino - Las Vegas",24
"195","Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive",8
"196","Quality Inn",2
"197","Quality Inn & Suites",2
"198","Quality Inn and Suites",2
"199","Quality Inn and Suites Big Rapids",3
"200","Quality Inn and Suites Eugene-springfield",4
"201","Quality Inn and Suites Irvine Spectrum",8
"202","Quality Inn Gulfport",5
"203","Quality Inn Johnson City",4
"204","Quality Inn Long Beach Airport",8
"205","Quality Inn Near Six Flags",1
"206","Quality Inn Spearfish",1
"207","Quality Suites Intercontinental Airport West",7
"208","Quinta Real Acapulco",5
"209","Radisson Blu Conference and Airport Hotel",5
"210","Radisson Hotel Hauppauge-long Island",1
"211","Red Carpet Inn",1
"212","Red Rest Inn",4
"213","Red Roof Inn St Louis - Troy",6
"214","Residence Inn By Marriott Deptford",6
"215","Residence Inn By Marriott Fort Lauderdale Weston",9
"216","Residence Inn By Marriott Hartford Downtown",3
"217","Residence Inn By Marriott Irvine John Wayne Airport",5
"218","Residence Inn By Marriott Springdale",2
"219","Residence Inn By Marriott Tucson Williams Centre",2
"220","Samui Cliff View Resort & Spa",2
"221","Sheraton Offenbach Hotel",4
"222","Simpson House Inn",7
"223","Sleep Inn At Harbour View",10
"224","Sleep Inn Slidell",2
"225","Sombrero Resort and Marina",7
"226","Sportsmen's Lodge",7
"227","Springhill Suites By Marriott Sarasota Bradenton",1
"228","Studio 6",1
"229","Suburban Extended Stay of Memphis Bartlett",1
"230","Summit At Big Sky",3
"231","Super 8 - Effingham",4
"232","Super 8 - Upland",9
"233","Super 8 Batesville Ar",1
"234","Super 8 Big Cabin Vinita Ok",3
"235","Super 8 Bradenton Sarasota Area",6
"236","Super 8 Columbia Dwntwn Sc",2
"237","Super 8 Crete Ne",5
"238","Super 8 Elko Nv",4
"239","Super 8 Fort Collins",2
"240","Super 8 Indianapolis",1
"241","Super 8 Kansas City Airport",6
"242","Super 8 Kingston",2
"243","Super 8 Madison",3
"244","Super 8 Manhattan Ks",1
"245","Super 8 Pittsburgh/monroeville",4
"246","Super 8 Schenect/albany Area",4
"247","The Grove Seaside Hotel",1
"248","The Houstonian Hotel",9
"249","The Jayakarta Bali",5
"250","The Kinney - Venice Beach",1
"251","The Savoy Hotel",10
"252","The Westin Buckhead",1
"253","The Westin Europa and Regina",2
"254","Tidewater Inn",13
"255","Travelodge Anaheim Convention Center",11
"256","Travelodge Ruther Glen",2
