"","X","address","city","country","name","province","reviews.date","reviews.text","reviews.title","reviews.username","lang","translated_text","cleaned_text","ratings_tf","rating"
"1",12,"Riviera San Nicol 11/a","Mableton","US","Hotel Russo Palace","GA","8/2/2015","It was ok hotel is nice from in and out but room was small we paid for double bed bat they atteched 2 single bed","It was ok hotel is nice from in and out but room","ahsas","en","It was ok hotel is nice from in and out but room was small we paid for double bed bat they atteched 2 single bed"," okay hotel nice room small pay double bed bat atteched single bed",3,1
"2",29,"Riviera San Nicol 11/a","Mableton","US","Hotel Russo Palace","GA","5/6/2015","Wir hatten ein Zimmer mit Balkon und Blick auf die Lagune - wunderschn!!!","Sehr sch��nes Hotel auf dem Lido.","A Traveler","de","We had a room with balcony and view of the lagoon - Wondern!"," room balcony view lagoon wondern",3,1
"3",32,"Riviera San Nicol 11/a","Mableton","US","Hotel Russo Palace","GA","5/24/2015","Nous avons pass 4 jours dans cet htel situ 5 mn pieds des des vaporetto. Le personnel est trs sympa parle franais. Toujours l pour donner de bons conseils sur les restaurants ou les visites. Rien redire. Tout tait bien. Chambres petit djeuner et environnement.","une belle semaine �� Venise","serge","fr","We have passed 4 days in this htel located 5 minutes from the vaporetto. The staff is very friendly speaks French. Always L to give good advice on restaurants or visits. Nothing wrong. Quite well. Rooms breakfast and environment."," pass day htel locate minute vaporetto staff friendly speak french always l give good advice restaurant visit nothing wrong quite good room breakfast environment",1,2
"4",35,"Riviera San Nicol 11/a","Mableton","US","Hotel Russo Palace","GA","10/10/2015","Room was tiny-bed saggy-bAthroom door didn't work. Good breakfast and convenient location. Wouldn't return or recommend.","Good for one night","A Traveler","en","Room was tiny-bed saggy-bAthroom door didn't work. Good breakfast and convenient location. Wouldn't return or recommend.","room tiny bed saggy bathroom door didnt work good breakfast convenient location wouldnt return recommend",3,5
"5",44,"Riviera San Nicol 11/a","Mableton","US","Hotel Russo Palace","GA","10/15/2014","Prima uitval basis voor stedentrip. Rustige buurt","Gezellig hotel","A Traveler","nl","Great loss basis for city trip. Quiet neighborhood","great loss basis city trip quiet neighborhood",1,2
"6",60,"142 Park Place Us 181 Business At Park Pl","Kenedy","US","Studio 6","TX",NA,"to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood","","write a review","en","to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood"," share opinion businesswith yp visitor across unite statesand neighborhood",3,4
"7",102,"1700 N Livermore Ave","Livermore","US","Hawthorn Suites By Wyndham Livermore Wine Country","CA","2/6/2015","The pictures on the web site were more expensive looking then the reality. We were told we had one of the best rooms, besides staring at cargo containers, the TV would not work so they changed our room. It was not well furnished and we could not regulate the air conditioner (way too warm for sleeping). The continental breakfast was good and the staff was very nice and helpful. The linens were harsh and uncomfortable. Sorry, but this was not at all what I expected and it was certainly unacceptable.","Not that happy","Melody","en","The pictures on the web site were more expensive looking then the reality. We were told we had one of the best rooms, besides staring at cargo containers, the TV would not work so they changed our room. It was not well furnished and we could not regulate the air conditioner (way too warm for sleeping). The continental breakfast was good and the staff was very nice and helpful. The linens were harsh and uncomfortable. Sorry, but this was not at all what I expected and it was certainly unacceptable."," picture web site much expensive look reality tell one good room besides stare cargo container tv work change room good furnish can regulate air conditioner way warm sleep continental breakfast good staff nice helpful linen harsh uncomfortable sorry expect certainly unacceptable",1,3
"8",124,"1700 N Livermore Ave","Livermore","US","Hawthorn Suites By Wyndham Livermore Wine Country","CA","4/24/2016","It was OK . they paid for the ice I purached.","will","Will","en","It was OK . they paid for the ice I purached."," okay pay ice purached",3,2
"9",126,"1700 N Livermore Ave","Livermore","US","Hawthorn Suites By Wyndham Livermore Wine Country","CA","4/30/2016","The hotel was great, but the Buffet Breakfast was the worst I have ever had! The bacon taste like cardboard, eggs and sausage were cold, Pastries were hard and very little fruit. The only thing hot and worth eating was fixing yourself a waffle at the waffle machine if you didn't mind waiting in line for it.","Great Hotel with a Bad Breakfast","Dale","en","The hotel was great, but the Buffet Breakfast was the worst I have ever had! The bacon taste like cardboard, eggs and sausage were cold, Pastries were hard and very little fruit. The only thing hot and worth eating was fixing yourself a waffle at the waffle machine if you didn't mind waiting in line for it."," hotel great buffet breakfast bad ever bacon taste like cardboard egg sausage cold pastry hard little fruit thing hot worth eat fix waffle waffle machine didnt mind wait line ",1,1
"10",154,"1700 N Livermore Ave","Livermore","US","Hawthorn Suites By Wyndham Livermore Wine Country","CA","6/22/2015","Very comfortable and accommodating. From making our reservation to our time spent, the Hawthorn in Livermore was really nice. I did have to find the direct phone number to get assurance our needs would be met as the central hotel reservation system is simply not equipped to handle any details. Once accessed the staff was most gracious and reassuring and... More","An enjoyable stay","barbarasN4851GR","en","Very comfortable and accommodating. From making our reservation to our time spent, the Hawthorn in Livermore was really nice. I did have to find the direct phone number to get assurance our needs would be met as the central hotel reservation system is simply not equipped to handle any details. Once accessed the staff was most gracious and reassuring and... More"," comfortable accommodate make reservation time spend hawthorn livermore really nice find direct phone numb get assurance need meet central hotel reservation system simply equip handle detail access staff much gracious reassure much",1,3
"11",167,"1700 N Livermore Ave","Livermore","US","Hawthorn Suites By Wyndham Livermore Wine Country","CA","8/17/2015","The pillows were way too soft without pillowcases. The mattress was so soft my back was aching. When i awoke in the am since I arrived so late and did not notice I flipped the covers off and there was dried blood on the sheets. I could not leave fast enough. Sorry but never again. The next night I stayed... More","Gravely disappointed","sheldong49","en","The pillows were way too soft without pillowcases. The mattress was so soft my back was aching. When i awoke in the am since I arrived so late and did not notice I flipped the covers off and there was dried blood on the sheets. I could not leave fast enough. Sorry but never again. The next night I stayed... More"," pillow way soft without pillowcase mattress soft back ache awake since arrive late notice flip cover dry blood sheet can leave fast enough sorry never next night stay much",1,1
"12",180,"1700 N Livermore Ave","Livermore","US","Hawthorn Suites By Wyndham Livermore Wine Country","CA","8/4/2016","Fun overnight stay","Wine Tasting","John","en","Fun overnight stay","fun overnight stay",3,3
"13",186,"864","Binghamton","US","Fairfield Inn By Marriott Binghamton","Choconut Center","10/26/2014","Great Experience. Nice Staff clean rooms good free breakfast","","A Traveler","en","Great Experience. Nice Staff clean rooms good free breakfast","great experience nice staff clean room good free breakfast",3,4
"14",211,"864","Binghamton","US","Fairfield Inn By Marriott Binghamton","Choconut Center","4/25/2015","We were very happy with our stay. Very nice hotel with super friendly staff. Room was clean and spacious. Had microwave, mini fridge, coffee maker. Pool area and exercise room were nice clean. Continental breakfast had lots of choices and tasted great! Loved that it was just a quick walk next door to dinner. Definitely would recommend to family friends and will absolutely stay again!","Highly recommended!!","A Traveler","en","We were very happy with our stay. Very nice hotel with super friendly staff. Room was clean and spacious. Had microwave, mini fridge, coffee maker. Pool area and exercise room were nice clean. Continental breakfast had lots of choices and tasted great! Loved that it was just a quick walk next door to dinner. Definitely would recommend to family friends and will absolutely stay again!"," happy stay nice hotel super friendly staff room clean spacious microwave mini fridge coffee maker pool area exercise room nice clean continental breakfast lot choice taste great love just quick walk next door dinner definitely recommend family friend will absolutely stay ",3,5
"15",214,"864","Binghamton","US","Fairfield Inn By Marriott Binghamton","Choconut Center","8/23/2014","very nice.","large, clean and comfortable room.","Diping","cs","Very Nice."," nice",3,2
"16",221,"864","Binghamton","US","Fairfield Inn By Marriott Binghamton","Choconut Center","12/25/2015","appears to be recently remodelled, rooms were clean and new and very pleasant","Room good, but front desk MIA and sketchy lobby","michael","en","appears to be recently remodelled, rooms were clean and new and very pleasant","appear recently remodel room clean new pleasant",3,4
"17",228,"864","Binghamton","US","Fairfield Inn By Marriott Binghamton","Choconut Center","9/5/2015","We were thrilled with everything from the cleanliness to the top notch breakfast to the kindness of everyone but, the very first person we met. She was the first person we approached behind the counter when we arrived. Later we learned that she was handling both the desk and the Housekeeping roles that night. If I were to judge the facility by this one person, I would have been disappointed in her lack of hospitality in answering our questions: no smile, no patience...cranky. However the rest of our stay, and we did add an extra night, more than made up for it. This was my first getaway in 4 years on ANY kind of vacation/family celebration, so I was really hoping for a good time. I really enjoyed the cleanliness, as I own a cleaning service here in MD. Thank you so much for an overall excellent stay!!!","A long awaited getaway to Binghamton!","Theresa","en","We were thrilled with everything from the cleanliness to the top notch breakfast to the kindness of everyone but, the very first person we met. She was the first person we approached behind the counter when we arrived. Later we learned that she was handling both the desk and the Housekeeping roles that night. If I were to judge the facility by this one person, I would have been disappointed in her lack of hospitality in answering our questions: no smile, no patience...cranky. However the rest of our stay, and we did add an extra night, more than made up for it. This was my first getaway in 4 years on ANY kind of vacation/family celebration, so I was really hoping for a good time. I really enjoyed the cleanliness, as I own a cleaning service here in MD. Thank you so much for an overall excellent stay!!!"," thrill everything cleanliness top notch breakfast kindness everyone first person meet first person approach behind counter arrive late learn handle desk housekeeping role night judge facility one person disappoint lack hospitality answer question smile patience cranky however rest stay add extra night much make first getaway year kind vacation family celebration really hope good time really enjoy cleanliness clean service md thank much overall excellent stay",1,5
"18",242,"864","Binghamton","US","Fairfield Inn By Marriott Binghamton","Choconut Center","8/15/2014","Hotel seemed clean. Staff was pleasant. Room seemed clean but it smelled very musty. I'm not sure why it smelled that way. It would be much better if they offered rooms with 2 queen beds instead of two double beds.","Room smelled very musty.","A Traveler","en","Hotel seemed clean. Staff was pleasant. Room seemed clean but it smelled very musty. I'm not sure why it smelled that way. It would be much better if they offered rooms with 2 queen beds instead of two double beds.","hotel seem clean staff pleasant room seem clean smell musty im sure smell way much good offer room queen bed instead two double bed",3,3
"19",244,"864","Binghamton","US","Fairfield Inn By Marriott Binghamton","Choconut Center","8/6/2016","Very comfortable. Great spread for a free breakfast buffet. The indoor pool was big enough (not huge), though the room was steamy. Friendly staff.","Comfortable stay","A Traveler","en","Very comfortable. Great spread for a free breakfast buffet. The indoor pool was big enough (not huge), though the room was steamy. Friendly staff."," comfortable great spread free breakfast buffet indoor pool big enough huge though room steamy friendly staff",3,4
"20",268,"2700 S Country Club Rd","El Reno","US","Days Inn El Reno Ok","OK","11/24/2015","we stayed for 2 nights the room was clean and beds were comfortable and it was in a good location close to a walmart and fast food resturants","good place","Jennifer","en","we stayed for 2 nights the room was clean and beds were comfortable and it was in a good location close to a walmart and fast food resturants"," stay night room clean bed comfortable good location close walmart fast food resturants",3,4
"21",419,"111 N Post Oak Ln","Houston","US","The Houstonian Hotel","Bunker Hill Village","11/28/2015","We loved it!","Great mini getaway for mid 50s couple","A Traveler","en","We loved it!"," love ",3,2
"22",420,"111 N Post Oak Ln","Houston","US","The Houstonian Hotel","Bunker Hill Village","3/12/2016","We live on the other side of Houston and felt that our stay at the Houstonian was a wonderful getaway. It really felt like we were on holiday. We loved the comfort, the view of the woods and the tranquility of the place.","Tranquil Getaway","Thomas L","en","We live on the other side of Houston and felt that our stay at the Houstonian was a wonderful getaway. It really felt like we were on holiday. We loved the comfort, the view of the woods and the tranquility of the place."," live side houston feel stay houstonian wonderful getaway really feel like holiday love comfort view wood tranquility place",3,5
"23",426,"111 N Post Oak Ln","Houston","US","The Houstonian Hotel","Bunker Hill Village","10/23/2015","Wonderful stay! Great couples retreat. Make sure you stay a couple of days to take advantage of all of the amenities including the Trellis Spa. Will definitely be back for our anniversary. Staff is superb and don't forget to eat at the restaurant downstairs Olivette.","Awesome retreat!","Liz","en","Wonderful stay! Great couples retreat. Make sure you stay a couple of days to take advantage of all of the amenities including the Trellis Spa. Will definitely be back for our anniversary. Staff is superb and don't forget to eat at the restaurant downstairs Olivette.","wonderful stay great couple retreat make sure stay couple day take advantage amenity include trellis spa will definitely back anniversary staff superb dont forget eat restaurant downstairs olivette",3,5
"24",431,"111 N Post Oak Ln","Houston","US","The Houstonian Hotel","Bunker Hill Village","1/1/2016","This hotel is way over rated, it's nothing like the description or the reviews. Basically its Old (very old) building in the heart of apartment complex/parking lot jungle. Furniture is very old, hotel theme feel like 1850s, clean but old. Tge staff is friendly but you can tell they inexperienced , mostly in there 20s. Room it self spacious but old, old carpet and TV. Bathrooms similar to Motels, bedsheets clean, new sheets, but bed is saggy. Surrounding area is jungle, literally!! Misty and not well kept. Lots traffic once you leave parking. Ppl come from surrounding complex apartments to run on trail. Bottom line, money wasted, will never come again.","Most Over Rated hotel","Ahmed","en","This hotel is way over rated, it's nothing like the description or the reviews. Basically its Old (very old) building in the heart of apartment complex/parking lot jungle. Furniture is very old, hotel theme feel like 1850s, clean but old. Tge staff is friendly but you can tell they inexperienced , mostly in there 20s. Room it self spacious but old, old carpet and TV. Bathrooms similar to Motels, bedsheets clean, new sheets, but bed is saggy. Surrounding area is jungle, literally!! Misty and not well kept. Lots traffic once you leave parking. Ppl come from surrounding complex apartments to run on trail. Bottom line, money wasted, will never come again."," hotel way rate nothing like description review basically old old build heart apartment complex park lot jungle furniture old hotel theme feel like s clean old tge staff friendly can tell inexperienced mostly s room self spacious old old carpet tv bathroom similar motel bedsheet clean new sheet bed saggy surround area jungle literally misty good keep lot traffic leave park ppl come surround complex apartment run trail bottom line money waste will never come ",3,3
"25",434,"111 N Post Oak Ln","Houston","US","The Houstonian Hotel","Bunker Hill Village","8/13/2016","Great resort facilities, several pools, including a lap pool and an enormous gym. Room was very comfortable. We went for the concierge package, which included complementary drinks, snacks and continental breakfast. Lovely.","Great resort facilities with several pools","Patrice","en","Great resort facilities, several pools, including a lap pool and an enormous gym. Room was very comfortable. We went for the concierge package, which included complementary drinks, snacks and continental breakfast. Lovely.","great resort facility several pool include lap pool enormous gym room comfortable go concierge package include complementary drink snack continental breakfast lovely",3,5
